day,day_ratio,antimuslim_FALSE,antimuslim_TRUE,total_n
2019-05-31T00:00:00Z,0.01257126151147493,6755,86,6841
2019-06-01T00:00:00Z,0.02181815241168217,241921,5396,247317
2019-06-02T00:00:00Z,0.020677698238171734,376759,7955,384714
2019-06-03T00:00:00Z,0.013130409756671195,318900,4243,323143
2019-06-04T00:00:00Z,0.011669092816435741,335398,3960,339358
2019-06-05T00:00:00Z,0.010248273287287661,318126,3294,321420
2019-06-06T00:00:00Z,0.01339409418936665,327565,4447,332012
2019-06-07T00:00:00Z,0.016415000355795916,345558,5767,351325
2019-06-08T00:00:00Z,0.010051196322223383,189496,1924,191420
2019-06-09T00:00:00Z,0.006902875242903062,190624,1325,191949
2019-06-10T00:00:00Z,0.017844402921691864,231278,4202,235480
2019-06-11T00:00:00Z,0.014492924946508577,250101,3678,253779
2019-06-12T00:00:00Z,0.013580042953907153,298540,4110,302650
2019-06-13T00:00:00Z,0.014661028987808241,235833,3509,239342
2019-06-14T00:00:00Z,0.01246939159917122,183498,2317,185815
2019-06-15T00:00:00Z,0.016282944562253862,142879,2365,145244
2019-06-16T00:00:00Z,0.02579830670746588,207579,5497,213076
2019-06-17T00:00:00Z,0.00917088382778298,214785,1988,216773
2019-06-18T00:00:00Z,0.012049856591480472,279007,3403,282410
2019-06-19T00:00:00Z,0.01400317251889374,205745,2922,208667
2019-06-20T00:00:00Z,0.012454477954955273,223446,2818,226264
2019-06-21T00:00:00Z,0.010004771061344283,136950,1384,138334
2019-06-22T00:00:00Z,0.024918937050426745,130812,3343,134155
2019-06-23T00:00:00Z,0.008908569713472907,227843,2048,229891
2019-06-24T00:00:00Z,0.009270356872049508,243024,2274,245298
2019-06-25T00:00:00Z,0.011335486003867561,218308,2503,220811
2019-06-26T00:00:00Z,0.01081291428371548,226235,2473,228708
2019-06-27T00:00:00Z,0.012800282181710169,212706,2758,215464
2019-06-28T00:00:00Z,0.013265266845012414,205079,2757,207836
2019-06-29T00:00:00Z,0.009020511076751333,154461,1406,155867
2019-06-30T00:00:00Z,0.012064882012950327,181867,2221,184088
